"city","time","feelslike_temp","humidity","pressure_mb","temp","wind_dir","wind_speed"
"Kochi","2024-08-22T22:26:01.068680","28","94","1009","25.1","N","3.6"
"Kochi","2024-08-22T22:26:26.361397","28","94","1009","25.1","N","3.6"
"nepal","2024-08-22T22:30:56.401667","24.6","100","1014","22.1","N","3.6"
"dehradun","2024-08-22T22:32:05.653880","25","92","1005","22.6","NE","5.4"
"Visakhapatnam","2024-08-22T20:37:20.961547","31.4","78","1005","27.7","WSW","21.6"
"Visakhapatnam","2024-08-22T20:37:40.147200","31.4","78","1005","27.7","WSW","21.6"
"Visakhapatnam","2024-08-22T21:18:03.694097","31.4","78","1005","27.7","WSW","21.6"
"Visakhapatnam","2024-08-22T21:36:03.235553","31.3","78","1005","27.6","WSW","20.2"
"Visakhapatnam","2024-08-22T22:10:34.034989","31.3","78","1005","27.6","WSW","20.2"
"Kashmir","2024-08-22T22:28:33.845995","38.6","50","1001","33.8","SE","8.6"
"Bengaluru","2024-08-22T22:26:40.528005","25.3","89","1014","23.2","WSW","11.2"
"Bengaluru","2024-08-22T22:27:03.742945","25.3","89","1014","23.2","WSW","11.2"
"Mum","2024-08-22T22:27:15.513444","15.6","82","1015","15.6","ENE","7.6"
"kerela","2024-08-22T22:31:18.311691","24.6","96","1015","22","NW","6.5"
"kerela","2024-08-22T22:31:28.410599","24.6","96","1015","22","NW","6.5"
"kerela","2024-08-22T22:31:59.998022","24.6","96","1015","22","NW","6.5"
"Chenna","2024-08-22T22:28:09.223012","34.4","84","1007","29.3","SSW","16.9"
"Chenna","2024-08-22T22:28:24.353386","34.4","84","1007","29.3","SSW","16.9"